news_outlet,tweet_date,tweet_text,username,compound,positive,negative,neutral,date
@BBCNews,Sun Dec 17 01:09:13 +0000 2017,Defence budget: New equipment at risk over MoD savings 'doubts' https://t.co/QvH101nAjk,BBCNews,-0.1779,0.112,0.168,0.72,2017-12-17 01:09:13
@BBCNews,Sat Dec 16 23:57:24 +0000 2017,Pensions: Automatic saving to start at 18 under new plans https://t.co/v22QzFIBYP,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 23:57:24
@BBCNews,Sat Dec 16 23:57:24 +0000 2017,Bradley Lowery: Award for Sunderland mascot at BBC Sports Personality https://t.co/5swf9oLLtx,BBCNews,0.1779,0.229,0.183,0.588,2017-12-16 23:57:24
@BBCNews,Sat Dec 16 20:04:18 +0000 2017,December shopper footfall down 'significantly' https://t.co/iLrut0M9Ru,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 20:04:18
@BBCNews,Sat Dec 16 19:33:22 +0000 2017,Manchester City 4-1 Tottenham Hotspur https://t.co/9ydhb5yseP,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 19:33:22
@BBCNews,Sat Dec 16 19:33:20 +0000 2017,Five drivers traced over fatal Tulse Hill hit-and-run https://t.co/0IyJZy4MdM,BBCNews,-0.5423,0.0,0.304,0.696,2017-12-16 19:33:20
@BBCNews,Sat Dec 16 19:33:20 +0000 2017,Recovery truck engulfed in flames on M6 https://t.co/vjIhOijkO2,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 19:33:20
@BBCNews,Sat Dec 16 19:33:20 +0000 2017,Firefighter cancer mum's plea for immunotherapy funds https://t.co/kcujN8Dide,BBCNews,-0.6597,0.0,0.386,0.614,2017-12-16 19:33:20
@BBCNews,Sat Dec 16 17:16:23 +0000 2017,Alex Rowley relinquishes Scottish Labour deputy leader role https://t.co/o65LtRTmiT,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 17:16:23
@BBCNews,Sat Dec 16 17:13:15 +0000 2017,Aberdeen school bus crash driver named by police https://t.co/91tww0TGwM,BBCNews,-0.4019,0.0,0.252,0.748,2017-12-16 17:13:15
@BBCNews,Sat Dec 16 16:51:47 +0000 2017,RT @BBCScotlandNews: Alex Rowley has announced that he does not intend to resume the role of deputy leader of the Scottish Labour Party htt…,BBCNews,0.4019,0.105,0.0,0.895,2017-12-16 16:51:47
@BBCNews,Sat Dec 16 16:40:12 +0000 2017,"""His sense of humour, his curiosity, his enthusiasm, that was our father"" - Laurence Wolff, son of renowned scienti… https://t.co/n0HSp8xRzj",BBCNews,0.7184,0.261,0.0,0.739,2017-12-16 16:40:12
